Plot   Row   Col   Treatment   Sulphur    Timing      Scab
   1     1     1           2       300    Autumn         9
   2     1     2           1         0   Control        12
   3     1     3           6       600    Spring        18
   4     1     4           4      1200    Autumn        10
   5     1     5           6       600    Spring        24
   6     1     6           7      1200    Spring        17
   7     1     7           5       300    Spring        30
   8     1     8           3       600    Autumn        16
   9     2     1           1         0   Control        10
  10     2     2           5       300    Spring         7
  11     2     3           4      1200    Autumn         4
  12     2     4           3       600    Autumn        10
  13     2     5           5       300    Spring        21
  14     2     6           1         0   Control        24
  15     2     7           1         0   Control        29
  16     2     8           6       600    Spring        12
  17     3     1           2       300    Autumn         9
  18     3     2           7      1200    Spring         7
  19     3     3           3       600    Autumn        18
  20     3     4           1         0   Control        30
  21     3     5           3       600    Autumn        18
  22     3     6           7      1200    Spring        16
  23     3     7           2       300    Autumn        16
  24     3     8           4      1200    Autumn         4
  25     4     1           5       300    Spring         9
  26     4     2           1         0   Control        18
  27     4     3           7      1200    Spring        17
  28     4     4           6       600    Spring        19
  29     4     5           1         0   Control        32
  30     4     6           4      1200    Autumn         5
  31     4     7           1         0   Control        26
  32     4     8           2       300    Autumn         4
